------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
                     | 501*    |  3/2 |    4 |       6.217256   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 504*    |  9/2 |   10 |       6.25368    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 508*    |  3/2 |    4 |       6.308037   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 514*    |  7/2 |    8 |       6.37503    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 519*    |  7/2 |    8 |       6.44501    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 527     |  9/2 |   10 |       6.536909   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 529*    |  3/2 |    4 |       6.55973    |                    |          |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5F).8s       | f 4F    |  7/2 |    8 |                  |                    |          |          
                     |         |  5/2 |    6 |                  |                    |          |          
                     |         |  9/2 |   10 |                  |                    |          |          
                     |         |  3/2 |    4 |       6.749770   |                    |   0.502  |          
                     |         |      |      |                  |                    |          |           
                     | 544     |  5/2 |    6 |       6.754794   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 552     |  9/2 |   10 |       6.847968   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 560     |  5/2 |    6 |       6.94934    |                    |          |          
