----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl II     |       1050.912  |                 |     14 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |       1051.246  |                 |     19 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |       1051.417  |                 |     25 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |       1080.147  |                 |      9 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |       1088.542  |                 |      5 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |       1095.571  |                 |      1 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl I      |       1112.305  |                 |    300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |       1139.262  |                 |    231 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1140.969  |                 |    269 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1143.633  |                 |   1000 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1172.056  |                 |    180 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1186.676  |                 |    195 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |       1202.17   |                 |    172 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1324.38   |                 |    350 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1329.60   |                 |    310 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1334.68   |                 |    550 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1382.17   |                 |    525 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |       1436.97   |                 |    148 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1493.17   |                 |    294 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1510.80   |                 |    269 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1546.51   |                 |    381 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1546.76   |                 |    169 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |       1552.03   |                 |   1094 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1573.01   |                 |   1487 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1581.84   |                 |    193 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1586.97   |                 |   2780 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1588.33   |                 |    277 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |       1592.89   |                 |    342 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1596.00   |                 |    735 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1597.05   |                 |    283 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1607.76   |                 |    129 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl I      |       1619.85   |                 |    259 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
