---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
                      |         |  7/2 |    8 |         3.64738187   |          0.00000025  |   1.62    |  72         :    26  3d4.(5D).4p           6P*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4P).4s.4p.(3P*)  | y 4P*   |  1/2 |    2 |         3.7222073    |          0.0000004   |   2.67    |  68         :    11  3d3.(2D2).4s.4p.(3P*) 4P*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         3.73125297   |          0.00000025  |   1.74    |  72         :    10  3d3.(2D2).4s.4p.(3P*) 4P*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.7345061    |          0.0000004   |   1.67    |  75         :     8  3d3.(2D2).4s.4p.(3P*) 4P*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(2G).4s.4p.(3P*)  | y 4G*   |  5/2 |    6 |         3.79832780   |          0.00000025  |   0.53    |  46         :    46  3d3.(4F).4s.4p.(1P*)  4G*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.80561361   |          0.00000025  |   0.93    |  50         :    43  3d3.(4F).4s.4p.(1P*)  4G*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.8152085    |          0.0000006   |   1.13    |  56         :    36  3d3.(4F).4s.4p.(1P*)  4G*  | L15916,L20010,L14162
                      |         | 11/2 |   12 |         3.8266829    |          0.0000005   |   1.21    |  64         :    29  3d3.(4F).4s.4p.(1P*)  4G*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4P).4s.4p.(3P*)  | z 6S*   |  5/2 |    6 |         3.8227627    |          0.0000011   |           |  96         :     1  3d3.(4P).4s.4p.(3P*)  4P*  |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(2G).4s.4p.(3P*)  | x 4F*   |  3/2 |    4 |         3.86832580   |          0.00000025  |   0.38    |  77         :    10  3d3.(2D2).4s.4p.(3P*) 4F*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.87190424   |          0.00000025  |   1.01    |  74         :    10  3d3.(2D2).4s.4p.(3P*) 4F*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.8767492    |          0.0000004   |   1.21    |  74         :     8  3d3.(2D2).4s.4p.(3P*) 4F*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.8828677    |          0.0000006   |   1.32    |  81         :     8  3d3.(2D2).4s.4p.(3P*) 4F*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3F1).4s          | 4F      |  3/2 |    4 |         3.8849337    |          0.0000004   |           |  87         :     3  3d3.4s.(5F).4d        4F   |        L15916,L20010
                      |         |  9/2 |   10 |         3.8876125    |          0.0000005   |           |  90         :     3  3d3.4s.(5F).4d        4F   |        L15916,L20010
                      |         |  5/2 |    6 |         3.88782691   |          0.00000025  |           |  90         :     4  3d3.4s.(5F).4d        4F   |        L15916,L20010
                      |         |  7/2 |    8 |         3.8895190    |          0.0000005   |           |  89         :     3  3d3.4s.(5F).4d        4F   |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(1P*)  | x 4G*   |  5/2 |    6 |         3.8928338    |          0.0000005   |   0.53    |  25         :    38  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.91060628   |          0.00000025  |   0.95    |  24         :    34  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.93299943   |          0.00000025  |   1.12    |  28         :    30  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         | 11/2 |   12 |         3.95969955   |          0.00000025  |   1.20    |  30         :    27  3d3.(4F).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3P1).4s          | 4P      |  5/2 |    6 |         3.92097607   |          0.00000016  |           |  59         :    28  3d5                   4P   |        L15916,L20010
                      |         |  3/2 |    4 |         3.93246692   |          0.00000025  |           |  55         :    32  3d5                   4P   |        L15916,L20010
                      |         |  1/2 |    2 |         3.93835543   |          0.00000025  |           |  52         :    37  3d5                   4P   |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(2P).4s.4p.(3P*)  | 2S*     |  1/2 |    2 |         3.9409874†   |          0.0000004   |   2.30    |  59         :    18  3d3.(2P).4s.4p.(3P*)  2S*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3P2).4p          | y 2S*   |  1/2 |    2 |         3.96281577   |          0.00000025  |   2.21    |  34         :    23  3d3.(4P).4s.4p.(3P*)  2P*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(2P).4s.4p.(3P*)  | x 4D*   |  1/2 |    2 |         4.0107632    |          0.0000007   |   0.08    |  24         :    13  3d3.(4P).4s.4p.(3P*)  4D*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         4.02410315   |          0.00000025  |   1.17    |  28         :    21  3d3.(4P).4s.4p.(3P*)  4D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         4.04937546   |          0.00000025  |   1.29    |  24         :    21  3d3.(2P).4s.4p.(3P*)  4P*  | L15916,L20010,L14162
