---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
He I      |              272.3191      |  0.0010  |              272.3192059   |  0.0000021   |    1* | 8.4996e+05   | AAA  | [19.81961468]  -  [24.37116600] | 1s.2s  | 3S   | 1     | 1s.8p  | 3P*  | 2     |   3 - 5   |    | T8636c73 |     L14924  |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              273.3184772   |  0.0000021   |       | 2.5052e+07   | AA   | (48.3712970)   -  (52.9062084)  | 3p     | 2P*  | 1/2   | 6d     | 2D   | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |              273.3195172   |  0.0000021   |       | 1.5290e+07   | AA   | (48.3713143)   -  (52.9062085)  | 3s     | 2S   | 1/2   | 6p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |              273.3199647   |  0.0000021   |       | 2.7064e+06   | AA   | (48.3712970)   -  (52.9061838)  | 3p     | 2P*  | 1/2   | 6s     | 2S   | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              273.3211384   |  0.0000021   |       | 1.5290e+07   | AA   | (48.3713143)   -  (52.9061816)  | 3s     | 2S   | 1/2   | 6p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              273.3308860   |  0.0000021   |       | 3.2062e+07   | AA   | (48.3715118)   -  (52.9062174)  | 3d     | 2D   | 3/2   | 6f     | 2F*  | 5/2   |   4 - 6   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              273.3309064   |  0.0000021   |       | 3.0058e+07   | AA   | (48.3715122)   -  (52.9062174)  | 3p     | 2P*  | 3/2   | 6d     | 2D   | 5/2   |   4 - 6   |    |    T8637 |             |
He II     |                            |          |              273.3314226   |  0.0000021   |       | 1.2524e+05   | AA   | (48.3715118)   -  (52.9062085)  | 3d     | 2D   | 3/2   | 6p     | 2P*  | 3/2   |   4 - 4   |    |    T8637 |             |
