----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
2s2.2p3.(2D*).6s       | 3D*    |   3 |    7 |        16.34787     |                    |          
                       |        |   2 |    5 |        16.34924     |                    |          
                       |        |   1 |    3 |        16.35055     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).6s  | 1D*    |   2 |    5 |        16.3580      |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).5d  | 3F*    |   2 |    5 |                     |                    |          
                       |        |   3 |    7 |                     |                    |          
                       |        |   4 |    9 |        16.3895542   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).5d       | 3G*    |   3 |    7 |                     |                    |          
                       |        |   4 |    9 |        16.3904686   |                    |          
                       |        |   5 |   11 |        16.3905120   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).5d  | 1P*    |   1 |    3 |        16.3911      |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).5d  | 3D*    |   3 |    7 |        16.39113     |                    |          
                       |        |   2 |    5 |        16.39242     |                    |          
                       |        |   1 |    3 |        16.39296     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).5d  | 1G*    |   4 |    9 |        16.3929028   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).5d  | 3S*    |   1 |    3 |        16.39475     |                    |          
                       |        |     |      |                     |                    |           
