------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar XVI    |                       |            |            0.401038   |   0.000021   |           |             |      |    31.8672       -   3123.45        | 1s2.2p                | 2P*     | 1/2  | 1s.2p2                 | 4P      | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.401219   |   0.000021   |           |             |      |    31.8672       -   3122.06        | 1s2.2p                | 2P*     | 1/2  | 1s.2p2                 | 4P      | 1/2  |   2 - 2   |       |                    |                 |
Ar XVI    |                       |            |            0.40125    |   0.00003    |           |             |      |    35.0383       -   3124.98        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 4P      | 5/2  |   4 - 6   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XV     |            0.40137    |  0.00005   |            0.40137    |   0.00005    |         * |             |      |    29.2429356    -   3118.3         | 1s2.2s.2p             | 3P*     | 1    | 1s.2s.(3S).2p2.(1D)    | 3D      | 2    |   3 - 5   |       |                    |         L11185  |
Ar XV     |            0.40137    |  0.00005   |            0.40137    |   0.00005    |         * |             |      |    77.900        -   3166.9         | 1s2.2p2               | 3P      | 2    | 1s.2p3                 | 3P*     | 1    |   5 - 3   |       |                    |         L11185  |
Ar XVI    |                       |            |            0.401450   |   0.000021   |           |             |      |    35.0383       -   3123.45        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 4P      | 3/2  |   4 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.40148    |   0.00003    |           |             |      |     0.0000       -   3088.17        | 1s2.2s                | 2S      | 1/2  | 1s.(2S).2s.2p.(3P*)    | 4P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.40159    |   0.00003    |           |             |      |     0.0000       -   3087.33        | 1s2.2s                | 2S      | 1/2  | 1s.(2S).2s.2p.(3P*)    | 4P*     | 1/2  |   2 - 2   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVI    |                       |            |            0.401631   |   0.000021   |           |             |      |    35.0383       -   3122.06        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 4P      | 1/2  |   4 - 2   |       |                    |                 |
Ar XV     |            0.40201    |  0.00005   |            0.40201    |   0.00005    |           |             |      |    31.3282718    -   3115.4         | 1s2.2s.2p             | 3P*     | 2    | 1s.2s.(3S).2p2.(1D)    | 3D      | 3    |   5 - 7   |       |                    |         L11185  |
Ar XV     |            0.40272    |  0.00005   |            0.40272    |   0.00005    |         * |             |      |    75.000        -   3153.7         | 1s2.2p2               | 3P      | 0    | 1s.2p3                 | 3D*     | 1    |   1 - 3   |       |                    |         L11185  |
Ar XV     |            0.40272    |  0.00005   |            0.40272    |   0.00005    |         * |             |      |    56.063        -   3134.7         | 1s2.2s.2p             | 1P*     | 1    | 1s.2s.(1S).2p2.(1D)    | 1D      | 2    |   3 - 5   |       |                    |         L11185  |
Ar XV     |            0.40317    |  0.00005   |            0.40317    |   0.00005    |           |             |      |    77.900        -   3153.1         | 1s2.2p2               | 3P      | 2    | 1s.2p3                 | 3D*     | 3    |   5 - 7   |       |                    |         L11185  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XIV    |            0.40389    |  0.00005   |            0.40389    |   0.00004    |           |             |      |    50.9829       -   3120.7         | 2s.2p2                | 2D      | 5/2  | 1s.2s.(3S).2p3.(2D*)   | 2D*     | 5/2  |   6 - 6   |       |                    |         L11185  |
Ar XIV    |            0.40439    |  0.00005   |            0.40435    |   0.00004    |         * |             |      |    50.865        -   3117.1         | 2s.2p2                | 2D      | 3/2  | 1s.2s.(3S).2p3.(2P*)   | 2P*     | 3/2  |   4 - 4   |       |                    |         L11185  |
