-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          545.43052   |          545.43091   |       11* |             |      |    23.63042474  -     25.90293530 | 3s2.3p4.(3P).4d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          545.4757    |          545.478297  |         1 |             |      |    22.82463943  -     25.09695258 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(3P).6p        | 4P*     | 1/2  |       |                      |  L14821  |
Ar II     |          545.6382    |          545.63726   |         5 |             |      |    23.63042474  -     25.9020759  | 3s2.3p4.(3P).4d       | 2P      | 3/2  | 3s2.3p4.(3P<2>).7p     | 2[2]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          545.7416    |           | 3.6e+05     | D    |    13.09487245  -     15.3660894  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2    | 3s2.3p5.(2P*<3/2>).8s  | 2[3/2]* | 1    |       |               T1218n |          |
Ar I      |                      |          545.9651    |           | 3.8e+04     | D    |    13.07571560  -     15.34600286 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3    | 3s2.3p5.(2P*<3/2>).6d  | 2[7/2]* | 3    |       |               T1218n |          |
Ar II     |          546.64338   |          546.643380  |         6 |             |      |    23.16223797  -     25.42970810 | 3s2.3p4.(3P).4d       | 2F      | 7/2  | 3s2.3p4.(3P<2>).5f     | 2[5]*   | 9/2  |       |                      |   L2634  |
Ar I      |                      |          546.7160    |           | 7.6e+04     | D    |    13.09487245  -     15.3620413  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2    | 3s2.3p5.(2P*<3/2>).8s  | 2[3/2]* | 2    |       |               T1218n |          |
Ar II     |          546.9098    |          546.909882  |         4 |             |      |    23.48447022  -     25.75083545 | 3s2.3p4.(3P).5p       | 4D*     | 7/2  | 3s2.3p4.(3P).6d        | 4D      | 7/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          547.0307    |          547.032233  |         2 |             |      |    22.83687146  -     25.10272979 | 3s2.3p4.(3P).4d       | 4D      | 1/2  | 3s2.3p4.(3P).6p        | 4D*     | 3/2  |       |                      |  L14821  |
Ar II     |          547.2642    |          547.263971  |         1 |             |      |    22.81135824  -     25.07625711 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P).6p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar I      |                      |          547.3451    |           | 2.0e+05     | D    |    13.09487245  -     15.3594355  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2    | 3s2.3p5.(2P*<1/2>).7s  | 2[1/2]* | 1    |       |               T1218n |          |
Ar II     |          547.612     |          547.615070  |         0 |             |      |    23.68252216  -     25.94596892 | 3s2.3p4.(3P).5p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 4F      | 3/2  |       |                      |  L14821  |
Ar II     |          548.1997    |          548.199964  |         1 |             |      |    23.43808861  -     25.69912045 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          548.4311    |          548.430572  |         1 |             |      |    22.83687146  -     25.09695258 | 3s2.3p4.(3P).4d       | 4D      | 1/2  | 3s2.3p4.(3P).6p        | 4P*     | 1/2  |       |                      |  L14821  |
Ar II     |          548.6102    |          548.610354  |         1 |             |      |    23.57017702  -     25.82951751 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).7s        | 4P      | 1/2  |       |                      |  L14821  |
Ar I      |                      |          549.0120    |           | 8.5e+04     | D    |    13.09487245  -     15.3525602  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2    | 3s2.3p5.(2P*<3/2>).6d  | 2[5/2]* | 2    |       |               T1164n |          |
Ar II     |          549.0667    |          549.068191  |         1 |             |      |    23.70200875  -     25.95946532 | 3s2.3p4.(3P).5p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 2F      | 5/2  |       |                      |  L14821  |
Ar I      |                      |          549.2080    |           | 5.6e+05     | E    |    13.28263891  -     15.539521   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1    | 3s2.3p5.(2P*<1/2>).8s  | 2[1/2]* | 0    |       |               T1164n |          |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |          549.5874    |          549.5873    |        25 | 1.69e+06    | C    |    13.07571560  -     15.3310399  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3    | 3s2.3p5.(2P*<3/2>).6d  | 2[7/2]* | 4    |       |               T1218n |   L2634  |
Ar II     |          549.7123    |          549.712874  |         3 |             |      |    23.68252216  -     25.93733129 | 3s2.3p4.(3P).5p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          549.81838   |          549.81844   |         8 |             |      |    21.42814592  -     23.68252216 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P).5p        | 2D*     | 3/2  |       |                      |  L11520  |
Ar II     |          549.8972    |          549.898471  |       2bl |             |      |    23.16223797  -     25.41628609 | 3s2.3p4.(3P).4d       | 2F      | 7/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          550.03323   |          550.03327   |        10 |             |      |    21.36689086  -     23.62038658 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P).5p        | 2D*     | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          550.1480    |          550.14994   |        2l |             |      |    21.36689086  -     23.61990867 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P).5p        | 2P*     | 3/2  |       |                      |  L14821  |
Ar III    |          550.22      |          550.17130   |           |             |      |    25.6936176   -     27.94654792 | 3s2.3p3.(2P*).4s      | 3P*     | 2    | 3s2.3p3.(2D*).4p       | 3D      | 3    |       |                      |  L16082  |
Ar II     |          550.3256    |          550.32671   |         3 |             |      |    23.61990867  -     25.87220283 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).6d        | 4F      | 5/2  |       |                      |  L14821  |
Ar II     |          550.4130    |          550.412582  |         0 |             |      |    22.81135824  -     25.06330100 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P).6p        | 4P*     | 5/2  |       |                      |  L14821  |
Ar II     |          550.4450    |          550.44351   |         0 |             |      |    23.62038658  -     25.87220283 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).6d        | 4F      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          550.4917    |          550.492048  |         3 |             |      |    22.82463943  -     25.07625711 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(3P).6p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar I      |          550.6113    |          550.6112    |         5 | 3.6e+05     | D+   |    13.09487245  -     15.34600286 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2    | 3s2.3p5.(2P*<3/2>).6d  | 2[7/2]* | 3    |       |               T1218n |   L2634  |
Ar II     |          550.7762    |          550.77641   |         6 |             |      |    23.80181422  -     26.0522694  | 3s2.3p4.(1S).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).6d        | 2D      | 5/2  |       |                      |  L11520  |
Ar II     |          551.3303    |          551.33050   |         1 |             |      |    23.58132402  -     25.82951751 | 3s2.3p4.(3P).5p       | 2P*     | 1/2  | 3s2.3p4.(3P).7s        | 4P      | 1/2  |       |                      |  L14821  |
Ar II     |          551.6668    |          551.668386  |         2 |             |      |    23.16223797  -     25.40905451 | 3s2.3p4.(3P).4d       | 2F      | 7/2  | 3s2.3p4.(3P<2>).5f     | 2[4]*   | 9/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          551.9337    |          551.93427   |         4 |             |      |    21.42814592  -     23.67388014 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P).5p        | 2S*     | 1/2  |       |                      |  L14821  |
Ar II     |          552.1740    |          552.176121  |         1 |             |      |    23.17153551  -     25.41628609 | 3s2.3p4.(3P).4d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          552.3690    |          552.370621  |         2 |             |      |    23.70200875  -     25.94596892 | 3s2.3p4.(3P).5p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 4F      | 3/2  |       |                      |  L14821  |
Ar I      |                      |          552.4957    |           | 1.7e+05     | D+   |    13.07571560  -     15.31916789 | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3    | 3s2.3p5.(2P*<1/2>).5d  | 2[5/2]* | 3    |       |               T1218n |          |
Ar II     |          552.5856    |          552.58839   |         2 |             |      |    23.51420420  -     25.75728005 | 3s2.3p4.(3P).5p       | 4D*     | 5/2  | 3s2.3p4.(3P).6d        | 4D      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          552.8961    |           | 1.2e+05     | E    |    13.27303799  -     15.5148656  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 0    | 3s2.3p5.(2P*<3/2>).8d  | 2[1/2]* | 1    |       |               T1164n |          |
Ar X      |          553.3265    |          553.32650   |           | 1.06e+02    | B    |     0.0000000   -      2.2400837  | 2s2.2p5               | 2P*     | 3/2  | 2s2.2p5                | 2P*     | 1/2  | M1    |                 T335 |  L11956  |
